                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0153,                 6.2334,                0.72787,                 7.9316,                  2.909,                0.76471,                0.34211,                0.48924,                0.31438,                0.01321,                0.05263,                0.00478,                0.00048,                 1.2092,                  5.971,                0.69002,                 7.2378,                 1.7272,                0.00026,                0.00026,                0.00026
                      2,                 1.3144,                 5.3551,                0.65451,                 1.1669,                  1.429,                0.23718,                0.97368,                0.24695,                0.13835,                0.13462,                0.55263,                0.10004,                0.01569,                 1.3771,                 5.2811,                0.63931,                 29.024,                 2.7959,             0.00053947,             0.00053947,             0.00053947
                      3,                 1.2769,                 4.9757,                0.63784,                  1.017,                 1.4237,                0.19643,                0.28947,                0.12887,                0.03068,                0.02451,                0.13158,                0.00523,                0.00068,                 4.0175,                  5.963,                0.57574,                 43.196,                 5.7461,             0.00081838,             0.00081838,             0.00081838
                      4,                 1.2698,                 4.8592,                0.62242,                0.99332,                 1.4244,                0.19643,                0.28947,                0.12887,                0.03068,                0.02451,                0.13158,                0.00523,                0.00068,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0010967,              0.0010967,              0.0010967
                      5,                 1.3275,                 4.0784,                0.61734,                  1.105,                 1.5303,                0.00388,                0.36842,                0.00252,                0.00083,                0.00077,                0.10526,                0.00045,                  7e-05,                 4.0564,                 11.403,                0.39329,                    inf,                  686.9,              0.0013745,              0.0013745,              0.0013745
                      6,                 1.2773,                 4.0638,                 0.5872,                0.95029,                 1.4538,                0.00481,                0.57895,                0.00363,                0.00179,                0.00036,                0.05263,                0.00016,                  2e-05,                 3.7039,                 11.153,                0.46715,                    inf,                 90.867,              0.0016518,              0.0016518,              0.0016518
                      7,                 1.1993,                 3.9435,                0.60528,                0.97883,                  1.444,                0.00194,                0.23684,                0.00166,                0.00047,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0019285,              0.0019285,              0.0019285
                      8,                  1.392,                 4.1315,                0.57206,                0.99361,                 1.5756,                0.00193,                0.02632,                0.00108,                0.00054,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                    nan,                    nan,              0.0019861,              0.0019861,              0.0019861
                      9,                 1.3368,                 3.6778,                0.57981,                 1.0062,                 1.5335,                0.00594,                0.65789,                0.00523,                0.00213,                0.00186,                0.36842,                 0.0014,                0.00026,                 2.7729,                 8.7685,                0.16102,                    inf,                 12.074,              0.0019842,              0.0019842,              0.0019842
                     10,                 1.2259,                 3.4131,                0.57785,                 0.9711,                 1.4408,                0.00755,                0.47368,                0.00549,                0.00259,                 0.0042,                0.23684,                0.00179,                0.00072,                 3.3007,                 9.3829,                0.14164,                    inf,                 7.0753,              0.0019822,              0.0019822,              0.0019822
                     11,                 1.2091,                 3.2102,                0.57819,                0.90703,                 1.4256,                0.08669,                0.68421,                 0.0903,                 0.0342,                0.00671,                0.05263,                0.00433,                0.00125,                   2.19,                 6.4754,                0.20262,                 30.658,                 2.5744,              0.0019802,              0.0019802,              0.0019802
                     12,                 1.1218,                 2.9675,                0.55218,                0.84596,                 1.3698,                0.77367,                0.94737,                0.92789,                0.65537,                0.43039,                0.47368,                0.43155,                0.19172,                 1.1064,                 3.7159,                0.10956,                 7.0095,                 1.6142,              0.0019782,              0.0019782,              0.0019782
                     13,                 1.1415,                 3.0909,                0.53579,                0.81566,                 1.3607,                0.23274,                0.89474,                0.44869,                0.32587,                0.20404,                0.36842,                0.29534,                0.09538,                 1.1445,                 4.0128,                0.17922,                 7.9021,                 1.9095,              0.0019762,              0.0019762,              0.0019762
                     14,                  1.126,                  3.276,                0.50921,                0.81824,                 1.3296,                0.41317,                0.92105,                0.76118,                0.46194,                0.08445,                0.21053,                0.02536,                0.00426,                 1.2981,                 5.8402,                0.20803,                  8.298,                 2.3179,              0.0019743,              0.0019743,              0.0019743
                     15,                 1.1741,                 2.8928,                0.53245,                0.86372,                 1.4189,                0.27603,                0.76316,                0.32701,                0.23114,                0.03966,                0.13158,                0.00965,                0.00779,                 1.1447,                 5.4393,                0.19682,                 8.1764,                 1.8468,              0.0019723,              0.0019723,              0.0019723
                     16,                 1.1346,                 3.1321,                0.50249,                 0.8253,                 1.3875,                0.03153,                0.44737,                0.02449,                0.00863,                0.02216,                0.07895,                0.00243,                0.00041,                 3.2049,                 10.143,                0.14396,                 9.5279,                 15.354,              0.0019703,              0.0019703,              0.0019703
                     17,                 1.0565,                 3.0909,                0.48312,                0.76163,                  1.302,                0.12515,                0.47368,                0.07714,                0.01972,                      0,                      0,                      0,                      0,                  3.512,                 11.125,                0.13565,                 8.2825,                 8.9658,              0.0019683,              0.0019683,              0.0019683
                     18,                 1.0696,                 3.1365,                0.50133,                0.76393,                 1.2832,                0.55996,                0.76316,                0.54481,                0.33445,                0.08043,                0.07895,                0.01736,                0.00813,                 1.6756,                 5.5454,                0.36399,                 2.2677,                  2.014,              0.0019663,              0.0019663,              0.0019663
                     19,                 1.0478,                 2.7967,                0.51831,                0.77733,                  1.287,                0.69958,                0.44737,                0.35816,                0.19485,                0.02921,                0.18421,                0.00899,                 0.0021,                 1.8978,                  5.141,                0.38584,                  2.822,                 1.9995,              0.0019644,              0.0019644,              0.0019644
                     20,                 1.0557,                 2.9052,                0.50414,                0.75188,                 1.2741,                 0.0252,                0.75323,                0.02698,                0.01159,                0.01261,                0.44737,                0.00945,                0.00288,                  1.707,                 3.9504,                0.27154,                 73.263,                 3.2543,              0.0019624,              0.0019624,              0.0019624
                     21,                 1.0926,                 2.5888,                0.49801,                0.85704,                 1.3103,                0.89899,                0.97368,                0.94747,                0.72147,                 0.6389,                0.39474,                0.31438,                0.13503,                0.86666,                 3.0543,                0.21615,                0.90581,                 1.3271,              0.0019604,              0.0019604,              0.0019604
                     22,                 1.0062,                 2.5793,                0.48295,                0.74761,                 1.2828,                 0.6158,                0.94737,                0.82199,                0.54906,                0.34011,                0.52632,                0.20784,                0.14367,                 1.2144,                 2.2564,                 0.1463,                 1.2264,                 1.6052,              0.0019584,              0.0019584,              0.0019584
                     23,                 1.0513,                 2.8816,                 0.4772,                0.78127,                 1.2932,                0.89896,                0.89474,                0.95343,                0.64449,                0.33874,                0.34211,                0.16238,                0.09499,                0.97602,                 3.1339,                 0.1529,                 1.5624,                 1.4363,              0.0019564,              0.0019564,              0.0019564
                     24,                 1.0587,                 2.6609,                0.49117,                0.78605,                 1.3216,                 0.0807,                0.84211,                 0.0799,                0.03715,                0.05269,                0.42105,                0.03445,                0.01916,                 1.2804,                 3.2376,                0.18222,                 21.745,                 1.6447,              0.0019545,              0.0019545,              0.0019545
                     25,                0.99895,                 2.4178,                0.52061,                0.78032,                 1.2781,                0.18545,                    0.5,                0.15001,                0.11697,                0.16078,                0.47393,                0.09701,                0.04241,                0.98293,                  3.403,                0.19663,                 2.4042,                 1.4293,              0.0019525,              0.0019525,              0.0019525
                     26,                0.99672,                 2.5446,                 0.4981,                0.69917,                  1.259,                0.47685,                0.73684,                0.64932,                0.42476,                0.17795,                0.36842,                 0.0881,                0.04598,                  1.066,                 2.9991,                0.20679,                 2.1915,                 1.7895,              0.0019505,              0.0019505,              0.0019505
                     27,                0.97687,                 2.7144,                0.48708,                0.70385,                 1.2191,                0.94124,                0.78947,                0.89117,                0.60559,                0.47378,                0.54508,                0.31888,                0.19051,                 1.0127,                  2.798,                0.17762,                 1.6692,                 1.4496,              0.0019485,              0.0019485,              0.0019485
                     28,                  1.049,                 2.8675,                0.47059,                0.74398,                 1.2701,                0.96757,                0.81579,                0.83523,                0.62639,                0.40266,                0.34211,                0.14876,                0.12814,                0.85787,                 2.5361,                0.15103,                 1.1177,                 1.2604,              0.0019465,              0.0019465,              0.0019465
                     29,                0.98996,                 2.1888,                0.45714,                0.66631,                 1.1945,                0.96713,                0.94737,                0.95206,                0.74186,                0.50872,                    0.5,                0.26526,                0.17118,                0.77076,                 2.4255,                0.16325,                0.87099,                 1.2056,              0.0019446,              0.0019446,              0.0019446
                     30,                   1.01,                 2.4986,                0.49193,                0.74152,                 1.2606,                0.96822,                0.97368,                0.98788,                0.66637,                0.54823,                0.55263,                0.34236,                0.27157,                0.94657,                 2.2323,                0.12581,                0.86454,                 1.3704,              0.0019426,              0.0019426,              0.0019426
                     31,                0.97664,                 2.0899,                0.48639,                 0.6661,                 1.2279,                 0.3678,                0.34211,                0.25009,                0.12633,                0.27964,                0.28947,                0.12548,                0.07437,                 2.0366,                 3.0465,                0.13189,                 4.3503,                 2.2525,              0.0019406,              0.0019406,              0.0019406
                     32,                 1.0152,                 2.1603,                0.49751,                0.67093,                 1.2483,                0.97326,                0.95794,                0.99017,                0.70812,                0.52548,                0.52459,                0.32091,                0.23303,                0.95503,                 2.3392,                0.13357,                  1.212,                 1.3906,              0.0019386,              0.0019386,              0.0019386
                     33,                 1.0072,                 2.1998,                0.48808,                0.67733,                 1.2504,                 0.9628,                0.86842,                0.96155,                0.68045,                0.68914,                0.34211,                0.36877,                0.34641,                0.87539,                 2.8857,                 0.1746,                 1.2333,                 1.3013,              0.0019366,              0.0019366,              0.0019366
